"","SubjID","@1A","@1B","@1C","@1D","@1E","@2A","@2B","@2C","@2D","@2E","@3A","@3B","@3C","@3D","@3E","@4A","@4B","@4C","@4D","@4E","@5A","@5B","@5C","@5D","@5E","@6A","@6B","@6C","@6D","@6E","@7A","@7B","@7C","@7D","@7E","@8A","@8B","@8C","@8D","@8E","c1understandingothers","c2expcomm","c3assert","c4feedback","c5influence","c6dispute","c7teamwork","c8flex","OverallScore"
"68",68,4,4,3,3,3,3,4,4,4,4,3,1,4,4,4,4,4,3,4,4,4,3,3,3,4,3,2,2,1,1,3,2,3,1,3,1,3,2,2,3,68,76,64,76,68,36,48,44,60
"69",69,3,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,2,4,3,2,1,1,1,3,1,3,3,3,1,2,1,2,1,76,72,68,80,72,32,52,28,60
"70",70,3,3,2,4,4,3,3,3,4,4,2,3,2,2,1,1,3,3,4,4,2,2,2,3,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,64,68,40,60,52,20,28,20,44
"71",71,3,4,3,2,2,3,2,1,2,3,2,2,4,3,2,4,3,3,3,4,3,2,3,3,3,2,3,2,1,1,3,3,2,3,2,3,2,3,1,3,56,44,52,68,56,36,52,48,51.5
"72",72,2,1,1,2,3,2,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,1,1,3,1,1,3,2,2,3,1,36,56,60,60,52,60,28,44,49.5
"73",73,2,3,3,1,3,4,4,4,3,3,3,2,2,2,1,4,3,3,2,4,3,2,4,3,3,1,1,3,1,1,3,3,3,3,1,1,1,1,1,1,48,72,40,64,60,28,52,20,48
"74",74,3,2,4,3,2,4,4,2,3,4,2,2,3,4,4,1,2,2,3,4,2,4,4,4,3,2,3,3,1,3,3,1,3,3,3,1,1,2,3,1,56,68,60,48,68,48,52,32,54
"75",75,3,3,3,2,3,3,2,3,2,3,1,2,3,2,3,2,3,3,3,3,2,4,3,2,3,2,2,2,3,3,3,3,2,3,3,2,3,2,2,3,56,52,44,56,56,48,56,48,52
"76",76,3,3,4,4,4,4,3,3,1,2,4,4,4,4,3,3,3,2,4,4,3,4,3,4,3,3,3,3,3,3,3,3,1,3,3,1,3,3,1,3,72,52,76,64,68,60,52,44,61
"77",77,4,4,2,3,4,4,3,2,3,3,3,3,3,4,4,4,4,3,4,4,1,2,4,3,4,3,3,1,1,1,1,1,1,2,1,2,3,1,1,2,68,60,68,76,56,36,24,36,53
"78",78,4,3,3,3,3,4,2,2,3,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,2,3,3,2,1,1,1,1,2,3,3,2,3,2,3,64,52,64,64,60,44,32,52,54
"79",79,4,4,4,3,3,4,3,4,3,3,3,1,3,2,3,4,3,3,2,2,2,3,2,3,3,2,1,2,3,2,2,1,2,2,2,1,2,1,2,2,72,68,48,56,52,40,36,32,50.5
"80",80,3,2,3,4,3,4,3,3,3,3,4,3,3,2,3,3,3,2,3,3,1,3,4,1,2,3,3,3,1,3,1,3,3,3,3,3,3,1,3,3,60,64,60,56,44,52,52,52,55
"81",81,3,4,3,3,4,4,4,4,4,3,3,2,4,2,4,4,3,3,3,3,4,4,4,3,3,3,1,3,1,3,1,3,3,1,1,3,1,1,1,1,68,76,60,64,72,44,36,28,56
"82",82,3,3,2,3,2,4,3,3,2,3,4,4,2,2,2,1,2,3,3,2,1,2,3,3,3,3,3,1,2,3,1,3,3,1,2,3,1,3,3,2,52,60,56,44,48,48,40,48,49.5
"83",83,4,4,4,3,4,3,2,2,2,4,2,3,3,3,3,4,3,4,4,4,4,4,3,2,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,76,52,56,76,68,44,20,20,51.5
"84",84,4,4,3,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,2,1,3,1,1,3,1,3,3,1,3,1,3,1,1,72,72,76,72,72,32,44,36,59.5
"85",85,3,3,3,3,2,3,3,4,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,1,1,3,3,1,1,3,2,1,3,3,2,3,1,3,56,60,56,56,60,36,40,48,51.5
"86",86,4,4,4,3,3,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,3,3,3,4,3,3,1,1,1,3,3,1,1,1,3,2,2,3,3,72,76,64,80,68,36,36,52,60.5
"87",87,3,3,2,3,2,4,3,2,3,2,3,3,3,4,2,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,3,1,3,3,1,3,2,2,3,1,52,56,60,60,52,52,44,44,52.5
"88",88,4,3,3,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,64,72,76,80,56,20,20,24,51.5
"89",89,4,3,2,1,2,4,2,3,4,4,1,1,4,4,3,4,3,3,2,2,3,2,3,2,2,3,2,1,1,1,1,1,1,3,3,3,1,3,3,3,48,68,52,56,48,32,36,52,49
"90",90,3,2,4,3,2,4,3,2,2,3,4,1,4,4,4,4,3,3,3,4,3,3,4,3,4,1,1,3,3,1,1,3,3,1,1,3,3,2,1,1,56,56,68,68,68,36,36,40,53.5
"91",91,4,3,3,3,3,3,3,1,2,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,48,60,60,60,20,20,20,44
"92",92,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,2,1,1,1,1,1,3,3,1,3,3,2,1,3,60,60,64,60,64,32,36,48,53
"93",93,3,4,3,4,1,3,3,2,3,4,3,4,4,4,3,4,4,4,4,4,3,1,3,4,4,3,3,2,3,3,3,1,2,1,1,2,2,2,3,3,60,60,72,80,60,56,32,48,58.5
"94",94,3,3,3,2,3,3,3,2,3,2,4,4,3,4,4,4,3,4,4,4,3,3,2,2,4,3,3,3,3,3,2,3,1,3,1,3,1,3,1,1,56,52,76,76,56,60,40,36,56.5
"95",95,4,2,4,3,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,3,2,3,4,4,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,68,76,72,80,64,40,48,40,61
"96",96,3,3,3,3,4,3,2,2,2,2,2,3,3,4,3,2,3,2,3,3,3,3,3,3,4,1,1,3,2,2,1,1,1,2,1,1,2,1,1,1,64,44,60,52,64,36,24,24,46
"97",97,3,4,4,4,3,2,3,3,2,2,4,1,3,3,3,4,4,4,4,4,4,2,3,2,3,1,1,3,2,1,1,1,1,1,1,1,3,1,2,3,72,48,56,80,56,32,20,40,50.5
